year,area_km2,glacier,wgms_id,source
1958,3.0900,Tuyuksu,817,WGMS FoG
1975,3.1400,Tuyuksu,817,WGMS FoG
1980,1.7200,Tuyuksu,817,WGMS FoG
1998,2.5540,Tuyuksu,817,WGMS FoG
2005,2.5250,Tuyuksu,817,WGMS FoG
2006,2.5320,Tuyuksu,817,WGMS FoG
2007,2.4720,Tuyuksu,817,WGMS FoG
2008,2.4510,Tuyuksu,817,WGMS FoG
2009,2.4510,Tuyuksu,817,WGMS FoG
2010,2.4460,Tuyuksu,817,WGMS FoG
2011,2.3140,Tuyuksu,817,WGMS FoG
2012,2.2970,Tuyuksu,817,WGMS FoG
2013,2.2890,Tuyuksu,817,WGMS FoG
2014,2.2758,Tuyuksu,817,WGMS FoG
2015,2.2717,Tuyuksu,817,WGMS FoG
2016,2.2660,Tuyuksu,817,WGMS FoG
2017,2.2560,Tuyuksu,817,WGMS FoG
2018,2.2480,Tuyuksu,817,WGMS FoG
2019,2.2348,Tuyuksu,817,WGMS FoG
2020,2.2281,Tuyuksu,817,WGMS FoG
2021,2.2237,Tuyuksu,817,WGMS FoG
2022,2.2096,Tuyuksu,817,WGMS FoG
2023,2.1935,Tuyuksu,817,WGMS FoG
2024,2.1695,Tuyuksu,817,WGMS FoG
2025,2.1367,Tuyuksu,817,WGMS FoG
