target_org,contact_name,role,email_or_url,segment,priority,status,last_contacted,next_action,requested_artifact,response_summary,loi_status,notes
Almaty city environmental/resilience office,,,,government,high,not_started,,identify correct department,1-page pilot proposal,pending,pending,
Kazhydromet,,,,government,high,not_started,,request technical call,decision report sample,pending,pending,
Ministry of Water Resources and Irrigation,,,,government,high,not_started,,request pilot feedback,water-risk use case,pending,pending,
Ministry of Ecology and Natural Resources,,,,government,medium,not_started,,request climate monitoring feedback,method summary,pending,pending,
Institute of Geography and Water Security,,,,research,high,not_started,,request validation interview,scientific results table,pending,pending,
Satbayev University,,,,research,medium,not_started,,ask for advisor feedback,model metrics summary,pending,pending,
Nazarbayev University climate/remote sensing group,,,,research,medium,not_started,,ask for research review,methodology note,pending,pending,
Al-Farabi KazNU geography/remote sensing group,,,,research,medium,not_started,,ask for student/research collaboration,poster draft,pending,pending,
Astana Hub,,,,accelerator,high,not_started,,request mentor review,pitch deck,pending,pending,
AI'preneurs / AI Startify,,,,accelerator,high,not_started,,request application feedback,90-second demo outline,pending,pending,
UNDP Kazakhstan climate adaptation,,,,ngo,medium,not_started,,request fit assessment,impact one-pager,pending,pending,
World Bank Kazakhstan water/climate team,,,,donor,medium,not_started,,request discovery call,pilot proposal,pending,pending,
Asian Development Bank Kazakhstan climate team,,,,donor,medium,not_started,,request discovery call,pilot proposal,pending,pending,
Ile-Alatau National Park,,,,field_partner,medium,not_started,,ask for field validation interest,map samples,pending,pending,
Emergency/resilience planning stakeholder,,,,government,medium,not_started,,test disaster-risk framing,decision dashboard screenshots,pending,pending,
