rank,feature,importance,importance_percent
1,NDSI,0.26956178102374806,26.956178102374807
2,NDWI,0.1946093955019695,19.46093955019695
3,B2,0.11934188095555615,11.934188095555614
4,B4,0.10869896023029796,10.869896023029796
5,B3,0.10267370037767894,10.267370037767893
6,BSI,0.061458620215564835,6.145862021556484
7,EVI,0.03900530302565722,3.9005303025657216
8,B8,0.036727393709715075,3.6727393709715077
9,B8A,0.03516639778310195,3.5166397783101955
10,B12,0.017692834580383166,1.7692834580383165
11,B11,0.015063732596327256,1.5063732596327257
